ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
02.02.2022,26.01.2022,16,26.01.2022,19,03400827,1324,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,19.01.2022,13,20.01.2022,13,07100205,1054,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,02.02.2022,11,02.02.2022,12,02300315,3300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,02.02.2022,09,02.02.2022,18,02100104,1015,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,02.02.2022,16,02.02.2022,17,04400725,5369,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,17,02.02.2022,11,08100104,520,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,19,02.02.2022,06,11100309,749,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,15,01.02.2022,18,12400721,519,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,02.02.2022,08,02.02.2022,19,09100304,990,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,30.01.2022,22,02.02.2022,13,08100207,180,Nein,Fahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
02.02.2022,01.02.2022,19,02.02.2022,08,02300315,4500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,18,02.02.2022,09,04500936,600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,17,02.02.2022,05,04200311,3000,Nein,diverse Fahrräder,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
02.02.2022,01.02.2022,16,01.02.2022,18,03701657,1249,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,01,01.02.2022,14,07200413,500,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,02.02.2022,19,02.02.2022,19,01100310,2235,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,16,02.02.2022,08,04300621,3408,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,15,01.02.2022,22,01100207,3000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,19,02.02.2022,06,07200409,1859,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,02.02.2022,07,02.02.2022,07,03400722,199,Nein,Mountainbike,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
02.02.2022,02.02.2022,08,02.02.2022,18,02100106,900,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,01.02.2022,15,02.02.2022,13,03701659,1564,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
02.02.2022,31.01.2022,15,02.02.2022,15,02200211,599,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,31.01.2022,09,02.02.2022,09,07300618,684,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,31.01.2022,19,01.02.2022,16,02400522,1000,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,30.01.2022,21,31.01.2022,08,11200512,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.02.2022,29.01.2022,00,29.01.2022,09,11400929,600,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
